Time	 Amps	 Volts	 Watts
0.000	0.390	123.20	21.800
0.700	0.390	123.30	21.900
1.400	0.390	123.30	21.900
2.100	0.390	123.10	22.100
2.800	0.388	123.20	22.200
3.500	0.395	123.30	22.300
4.200	0.395	123.30	22.300
4.900	0.392	123.10	22.500
5.600	0.391	123.20	22.600
6.300	0.391	123.20	22.600
7.000	0.390	123.00	22.600
7.700	0.388	123.10	22.700
8.400	0.388	123.10	22.700
9.100	0.387	123.10	22.700
9.800	0.395	123.10	22.800
10.500	0.393	123.20	22.900
11.200	0.393	123.20	22.900
11.900	0.386	123.20	22.900
12.600	0.382	123.20	22.900
13.300	0.382	123.20	22.900
14.000	0.385	123.20	22.900
14.700	0.381	123.10	22.900
15.400	0.381	123.10	22.900
16.100	0.392	123.20	22.900
16.800	0.385	123.10	22.900
17.500	0.380	123.20	22.900
18.200	0.380	123.20	22.900
18.900	0.385	123.10	22.900
19.600	0.385	123.10	22.900
20.300	0.385	123.10	22.900
21.000	0.394	123.20	22.900
21.700	0.384	123.10	22.900
22.400	0.384	123.10	22.900
23.100	0.384	123.20	22.900
23.800	0.392	123.20	22.900
24.500	0.385	123.10	22.900
25.200	0.385	123.10	22.900
25.900	0.385	123.20	22.900
26.600	0.382	123.10	22.900
27.300	0.382	123.10	22.900
28.000	0.384	123.10	22.900
28.700	0.389	123.20	22.900
29.400	0.389	123.20	22.900
30.100	0.394	123.20	22.900
30.800	0.563	123.10	23.200
31.500	0.434	123.30	33.000
32.200	0.434	123.30	33.000
32.900	0.510	123.20	32.400
33.600	0.454	123.20	32.100
34.300	0.454	123.20	32.100
35.000	0.429	123.30	25.600
35.700	0.613	123.20	26.000
36.400	0.613	123.20	26.000
37.100	0.434	123.20	35.700
37.800	0.443	123.20	25.500
38.500	0.423	123.10	25.700
39.200	0.423	123.10	25.700
39.900	0.672	123.20	37.400
40.600	0.752	123.10	38.000
41.300	0.752	123.10	38.000
42.000	0.666	123.10	38.500
42.700	0.693	123.10	38.600
43.400	0.693	123.10	38.600
44.100	0.694	123.20	38.900
44.800	0.701	123.10	39.100
45.500	0.659	123.20	39.300
46.200	0.659	123.20	39.300
46.900	0.705	123.10	39.600
47.600	0.639	123.10	39.600
48.300	0.639	123.10	39.600
49.000	0.684	123.20	39.600
49.700	0.628	123.10	39.700
50.400	0.628	123.10	39.700
51.100	0.723	123.20	39.500
51.800	0.693	123.20	39.700
52.500	0.614	123.20	39.600
53.200	0.614	123.20	39.600
53.900	0.663	123.20	39.700
54.600	0.572	123.10	39.500
55.300	0.572	123.10	39.500
56.000	0.603	123.30	39.100
56.700	0.705	123.10	38.800
57.400	0.705	123.10	38.800
58.100	0.619	123.10	38.800
58.800	0.638	123.10	38.600
59.500	0.641	123.10	38.400
60.200	0.641	123.10	38.400
60.900	0.670	123.10	38.400
61.600	0.591	123.20	38.500
62.300	0.591	123.20	38.500
63.000	0.559	123.00	38.400
63.700	0.657	123.10	38.200
64.400	0.657	123.10	38.200
65.100	0.649	123.10	38.600
65.800	0.608	123.10	38.600
66.500	0.605	122.90	38.500
67.200	0.605	122.90	38.500
67.900	0.570	122.90	33.000
68.600	0.400	123.00	27.800
69.300	0.400	123.00	27.800
70.000	0.499	123.00	27.500
70.700	0.639	122.90	27.700
71.400	0.639	122.90	27.700
72.100	0.400	123.00	27.700
72.800	0.407	123.10	27.200
73.500	0.401	123.10	27.200
74.200	0.401	123.10	27.200
74.900	0.646	123.00	27.100
75.600	0.400	123.00	27.300
76.300	0.400	123.00	27.300
77.000	0.666	123.10	27.000
77.700	0.415	123.10	35.700
78.400	0.415	123.10	35.700
79.100	0.388	123.10	23.500
79.800	0.409	123.00	23.400
80.500	0.420	123.10	23.600
81.200	0.420	123.10	23.600
81.900	0.606	123.00	32.000
82.600	0.384	123.10	31.500
83.300	0.384	123.10	31.500
84.000	0.385	123.10	23.100
84.700	0.405	123.10	23.100
85.400	0.405	123.10	23.100
86.100	0.471	123.10	23.200
86.800	0.704	123.10	23.800
87.500	0.698	123.00	38.800
88.200	0.698	123.00	38.800
88.900	0.392	123.00	33.000
89.600	0.382	123.10	23.100
90.300	0.382	123.10	23.100
91.000	0.387	123.00	23.100
91.700	0.382	123.10	23.100
92.400	0.382	123.10	23.100
93.100	0.381	123.00	23.000
93.800	0.383	123.10	23.300
94.500	0.390	123.00	23.200
95.200	0.390	123.00	23.200
95.900	0.382	123.20	23.200
96.600	0.380	123.00	23.200
97.300	0.380	123.00	23.200
98.000	0.465	123.00	23.100
98.700	0.455	122.90	34.700
99.400	0.455	122.90	34.700
100.100	0.486	123.00	26.000
100.800	0.393	123.00	26.200
101.500	0.516	123.00	26.000
102.200	0.516	123.00	26.000
102.900	0.400	123.00	26.300
103.600	0.404	123.00	26.300
104.300	0.404	123.00	26.300
105.000	0.422	123.00	25.900
105.700	0.437	123.00	25.800
106.400	0.437	123.00	25.800
107.100	0.412	122.90	26.300
107.800	0.382	123.00	25.900
108.500	0.385	123.00	25.600
109.200	0.385	123.00	25.600
109.900	0.383	123.00	25.300
110.600	0.546	122.90	25.200
111.300	0.546	122.90	25.200
112.000	0.569	122.90	34.100
112.700	0.437	123.00	33.700
113.400	0.437	123.00	33.700
114.100	0.385	122.90	24.500
114.800	0.402	123.10	24.300
115.500	0.383	122.90	24.100
116.200	0.383	122.90	24.100
116.900	0.409	123.00	24.200
117.600	0.414	123.00	29.900
118.300	0.414	123.00	29.900
119.000	0.377	122.90	23.700
119.700	0.386	123.00	23.500
120.400	0.386	123.00	23.500
121.100	0.382	122.90	23.400
121.800	0.381	123.00	23.300
122.500	0.378	122.90	23.200
123.200	0.378	122.90	23.200
123.900	0.377	122.90	23.100
124.600	0.375	123.00	23.100
125.300	0.375	123.00	23.100
126.000	0.549	122.90	23.000
126.700	0.570	123.00	23.400
127.400	0.570	123.00	23.400
128.100	0.378	123.00	23.700
128.800	0.394	123.00	23.900
129.500	0.554	122.90	24.100
130.200	0.554	122.90	24.100
130.900	0.531	123.00	30.100
131.600	0.650	122.90	38.200
132.300	0.650	122.90	38.200
133.000	0.393	123.00	33.000
133.700	0.396	123.00	24.900
134.400	0.396	123.00	24.900
135.100	0.410	122.90	31.600
135.800	0.378	123.10	23.100
136.500	0.382	122.90	23.000
137.200	0.382	122.90	23.000
137.900	0.382	122.90	22.900
138.600	0.386	122.90	22.900
139.300	0.386	122.90	22.900

======= Summary Statistics =======
Total Time:	 140.000 seconds
Average Amps:	 0.4748 A
Average Volts:	 123.0715 V
Average Watts:	 28.2925 W
Total Energy:	 3960.9500 J
